year,authors
2025,"FuentealbaR, FloresBelléP, CarraroV, AriasArósteguiE, GonzálezGálvezM, SwistunDA, UsónTJ, HenriqueKP, deCastroF"
2025,"PickeringSD, IwasakiM, MasitaG, RoskamA, HansenME, SunaharaY"
2025,"FuY, ZhouJ, ZouX, ShiL, ZhangX, DozeAM, HilbersMF, BumaWJ, ZhangJ, FeringaBL"
2025,"BoasI, SterlyH, FarbotkoC, HulmeM, BenvenisteH, SchewelKD, BettiniG, BorderonM, HoffmannR, vanderGeestKDDD, SelbyJ, WrathallDJ, BaldwinA, BenítezCortésA, BukariKNBPS, CapisaniS, CodjoeSNA, ZickgrafC"
2025,"ErnstTR, HogersRMHW, KorosiA, vanLeeuwenJL, KotrschalA, PolluxBJA"
2025,"ObbelsJ, VansteelandtK, VerwijkE, HebbrechtK, VerspechtS, DenayerN, VandenEyndeL, SienaertP"
2025,"RogersK, HirzleT, KaraosmanogluS, ToledoPalominoP, DurmanovaE, IsotaniS, NackeLE"
2025,"YanX, ZhaoY, KeL, WuX, ZhaoK, LiL, CaoX, JiangX, YangY, RothenbergG, YanN"
2025,"ZhangQ, NicuVP, BumaWJ, TianH, QuDH, FeringaBL"
2025,"BoschlooL, WijnandsJ, GarnefskiN, KraaijV, HurksP, RemmerswaalD, WiersRW, StruijsS, SaleminkE"
2025,"HadjisotiriouS, OreelTH, MarchauVAWJ, KorziliusHPLM, CoenenJ, NespecaV, RouwetteEAJA, VasconcelosVV, QuaxR, WertheimHFL, OldeRikkertMGM"
2025,"KoloiA, SiregarNPR, QuaxR, SakellariosAI, LamersF, RydinA, DobretzK, PapaloukasC, FotiadisDI, BoschJA"
2025,"KosterM, vanderPluijmM, FraikinM, vanWingenG, vandeGiessenE, deHaanL, VermeulenJ, ZiermansT"
2025,"MorleyJ, HineE, RobertsH, SirbuR, AshrafianH, BleaseC, BoydM, ChenJL, ChiavegattoFilhoA, CoieraE, CohenGI, FiskeA, JayakumarN, KerasidouA, MandreoliF, McCraddenMD, NamuganzaS, NsoesieEO, ParikhRB, FloridiL"
2025,"NuijsMD, LarsenH, GraftonB, MacLeodC, BögelsSM, WiersRW, SaleminkE"
2025,"OttVL, vandenBerghD, BoutinB, vanDoornJ, BartošF, JuddN, vanLangenJ, KorthalsL, KievitR, GrootL, WagenmakersEJ"
2025,"BindilaL, EidT, MillsJD, HildebrandMS, BrennanGP, MasinoSA, WhittemoreV, PeruccaP, ReidCA, PatelM, WangKK, vanVlietEA"
2025,"NuijsMD, LarsenH, KleinAM, GrasmanRPPP, WiersRW, deVoogdEL, SaleminkE"
2025,"PetterJ, MehtaA, PetrovaK, KindtM, SheppesG, HaslbeckJMB, GrossJJ"
2025,"deWitM, GottardiL, NagayoshiK, TaralliE, VaccaroD, RavensbergK, BruijnMP, vanderKuurJ, GaoJR, denHerderJWA"
2025,"vanVlietEA, HildebrandMS, MillsJD, BrennanGP, EidT, MasinoSA, WhittemoreV, BindilaL, WangKK, PatelM, PeruccaP, ReidCA"
2025,"vanVlietEA, ImmonenR, PragerO, FriedmanA, BankstahlJP, WrightDK, O'BrienTJ, PotschkaH, GröhnO, HarrisNG"
2025,"LaerkholmGF, DharJ, HavelkovaB, JobA, PidunU, ReevesM, LevinSA, VasconcelosVV"
2025,"JovanovaM, StanoiO, ScholzC, DoréB, CosmeD, KangY, CooperN, BoydZM, BassettDS, MuchaPJLSD, OchsnerKN, FalkEB"
2025,"BeerendonkL, MejíasJF, NuitenSA, deGeeJW, ZantvoordJB, FahrenfortJJ, vanGaalS"
2025,"WesterbeekL, LinnAJ, vanWeertH, vanderVeldeN, MedlockSAHA, vanWeertJCM"
2025,"HadjisotiriouS, CoenenJ, RouwetteEAJA, NespecaV, OreelTH, MarchauVAWJ, VasconcelosVV, QuaxR, WertheimHFL, OldeRikkertMGM, KorziliusHPLM"
2025,"PapeLM, AntypaN, SpinhovenP, vanStratenA, StruijsSY, CaringUniversitiesConsortium"
2025,"BouwensT, BobylevEO, AntonyLSD, PooleDAALE, MathewS, ReekJNH"
2025,"CarriganM, BocanceaDI, VogelJ, vanLoenhoudAC, TesiN, BarkhofF, LucassenPJ, vanderFlierWM, KrugersHJ, VanderLeeSJ, OssenkoppeleR"
2025,"ClaesL, BogaertsA, BastiaensT, KiekensG, DierckxE, SchoevaertsK, LuyckxK"
2025,"DasA, CordobaD, KristiansenS, VelardiS, WonnebergerA, YamaguchiT, SelfaT"
2025,"DenkersLAM, vanDoornA, GallandM, BalckeG, deVosM, SchuurinkRC, BleekerPM"
2025,"ElseyJWB, MetselaarVN, GeiserE, KnoopDF, GangadienSM, SchrijverNA, vandenNieuwenhofLM, SpiekmanVM, JakschikMJ, EnkelaarCM, VisbeekESJ, EfftingM, KindtM"
2025,"GeertsemaJ, JunckerHG, WilmesL, BurchellGL, deRooijSR, vanGoudoeverJB, O'RiordanKJ, ClarkeG, CryanJF, KorosiA"
2025,"LuoL, BocheninaK, AbuhayTM, DorzhuN, KampisG, KovalchukS, KrzhizhanovskayaV, PaszynskiM, deMulatierC, DongarraJ, SlootPMA"
2025,"MattinglyD, IncertiT, JuC, MoresheadC, TanakaS, YamagishiH"
2025,"TulinM, HameleersM, deVreeseC, AalbergT, CorbuN, vanErkelP, EsserF, GehleL, HalagieraD, HopmannDNKMK, MatthesJ, MiheljS, SchemerC, StetkaV, StrömbäckJ, TerrenL, TheocharisY"
2025,"UrbiolaALRLTVLC, PoslonXD, LášticováB, PántyaJ, SzekeresH, KendeA"
2025,"ZoccaP, vanDooreE, RooversAJM, GlasJJ, UittenbogaardM, VerlaanMG, vanHerwijnenZ, HaringMA, SchuurinkRC"
2025,"vanLentLGG, YilmazNG, GoosenS, BurgersJ, GianiS, SchoutenBC, LangendamMW"
2025,"LesuisSL, RashidAJ, HoornA, ParkS, MocleAJ, TorelliAM, DeCristofaroA, FranklandPW, HillMN, JosselynSA"
2025,"YuasaK, GroenIIA, PiantoniG, MontenegroS, FlinkerA, DevoreS, DevinskyO, DoyleW, DuganP, FriedmanD, RamseyN, PetridouN, WinawerJ"
2025,"AxtellC, VasquezC, ChristensenM, InnstrandST, DeAngelisM, MazzettiG, PelzerV, vandenHeuvelM, TušlM, ŠípováI, MuschallaB, LlorensS, PeláezZuberbuhlerJ"
2025,"BeukeboomCJ, BurgersC, vanWoerkomM, deMeijerS, deVriesL, FerdinandusD"
2025,"DielemansDAM, YurtkapY, vanderPluijmM, SoetersMR, OranjeB, SmitDJA, ZiermansT, vanTrichtMJ, MuthukumarS, PrasadS, vanderMiedenvanOpmeerRL, DekeysterE, KampermanAM, DyckJRB, RosemaBS, HoekstraR, KupkaRW, deHaanL, vanBeverenNJ, HuizerK"
2025,"Ejbye-ErnstP, MoellerK, LiebstLS, ThomasJ, SextonM, LindegaardMR"
2025,"GhasemiO, ColognaV, MedeNG, StanleySK, StrahmN, RossR, AlfanoM, KerrJR, MarquesMD, BergerS, BesleyJC, BrickC, JoubertM, MaibachE, MiheljS, NewellBR, OreskesN, SchäferMS"
2025,"HeirmanA, DuimelSLL, TellmanRS, DirvenR, LinnAJ, HalmosGB, vanSonRJJH, vanderMolenL, BalmAJM, vanWeertJCM, vandenBrekelMWM"
2025,"HillenMA, MitchellKAR, SchoutenBC, CyrusJW, BrownR, PieterseA"
2025,"HunterBM, McCoyD, CordilhaAC, MarriottA, RoyV, SteinF, WoodB"
2025,"KoelenJA, deKoningL, NottageMK, KleinAM, vanderHeijdeCM, VonkP, WiersRW"
2025,"LoomanMI, BlankenTF, SchoenmakersTM, ReesenJE, EfftingM, LinnebankFE, vanStratenA, KamphuisJH, LanceeJ"
2025,"MaierM, BartošF, QuintanaDS, DablanderF, vandenBerghD, MarsmanM, LyA, WagenmakersEM"
2025,"MeijerJJ, SouvereinF, CollotD'EscuryAM, deHeideBWF, KoopmanLACM, vanDomburghL, MulderE"
2025,"MeijersMHC, LemmensJS, LuYNGER, LanX, BlankenTF, HendriksH"
