node,degree,strategy,adoption_time,tau,seed_fraction
PathaniaA,35,random,0,0.05,0.0025
ForstallCW,2,random,0,0.05,0.0025
JuvonenJ,5,random,0,0.05,0.0025
SernaChavezHM,9,random,0,0.05,0.0025
HensenM,2,random,0,0.05,0.0025
AllenBD,6,random,0,0.05,0.0025
FrancisJ,6,random,0,0.05,0.0025
KärkkäinenJ,5,random,0,0.05,0.0025
DeGoedeJ,3,random,0,0.05,0.0025
ShimwellTW,185,random,0,0.05,0.0025
VanDenWildenbergE,9,random,0,0.05,0.0025
deJongeDSW,8,random,0,0.05,0.0025
DeAlberquerqueMeloHM,19,random,0,0.05,0.0025
MorzywołekP,16,random,0,0.05,0.0025
ButôtR,10,random,0,0.05,0.0025
KamaliB,2,random,0,0.05,0.0025
JaspersRT,26,random,0,0.05,0.0025
MenzMHM,18,random,0,0.05,0.0025
ChanTA,19,random,0,0.05,0.0025
JørgensenRH,2,random,0,0.05,0.0025
deWildtK,5,random,0,0.05,0.0025
vanDuijnH,11,random,0,0.05,0.0025
vanDijkJ,58,random,0,0.05,0.0025
BruzualG,15,random,0,0.05,0.0025
KootE,19,random,0,0.05,0.0025
HaitjemaT,17,random,0,0.05,0.0025
AthanassoulisGA,5,random,0,0.05,0.0025
GrootF,7,random,0,0.05,0.0025
PetersenJ,16,random,0,0.05,0.0025
VijgenSCM,15,random,0,0.05,0.0025
GeisslerPL,3,random,0,0.05,0.0025
BevanP,8,random,0,0.05,0.0025
JarrettT,19,random,0,0.05,0.0025
WainainaC,11,random,0,0.05,0.0025
TuckerLD,5,random,0,0.05,0.0025
VanDerHelmGHP,7,random,0,0.05,0.0025
KafetsiosK,17,random,0,0.05,0.0025
MoraruAP,9,random,0,0.05,0.0025
vanHoutM,8,random,0,0.05,0.0025
ChenSS,10,random,0,0.05,0.0025
WalbornNR,115,random,0,0.05,0.0025
HertogD,6,random,0,0.05,0.0025
TerasvirtaT,2,random,0,0.05,0.0025
SpathopoulouA,10,random,0,0.05,0.0025
ZarembaJ,2,random,0,0.05,0.0025
PopaEO,1,random,0,0.05,0.0025
PathakJL,40,random,0,0.05,0.0025
JoshiS,2,random,0,0.05,0.0025
MarslandAL,4,random,0,0.05,0.0025
vanBeelenAJ,14,random,0,0.05,0.0025
OliversCNL,24,random,0,0.05,0.0025
NiewielskaA,7,random,0,0.05,0.0025
DeMutiisM,1,random,0,0.05,0.0025
VanSteendamE,9,random,0,0.05,0.0025
JiguetF,19,random,0,0.05,0.0025
DaviesG,63,random,0,0.05,0.0025
GruntjesP,2,random,0,0.05,0.0025
KyleD,1,random,0,0.05,0.0025
MulderS,17,random,0,0.05,0.0025
SchubertH,32,random,0,0.05,0.0025
WróblewskiM,19,random,0,0.05,0.0025
FridrikssonJK,42,random,0,0.05,0.0025
KostermanW,2,random,0,0.05,0.0025
LehtiöJ,18,random,0,0.05,0.0025
AnvarS,18,random,0,0.05,0.0025
DilleSA,5,random,0,0.05,0.0025
DebuysereL,1,random,0,0.05,0.0025
