strategy,time_step,mean_fraction,std_fraction,tau,seed_fraction
betweenness,0,0.002493411868341881,0.0,0.05,0.0025
betweenness,1,0.305136876367084,0.0,0.05,0.0025
betweenness,2,0.6202623308175256,0.0,0.05,0.0025
betweenness,3,0.9426515270281367,0.0,0.05,0.0025
betweenness,4,0.9927885153747956,0.0,0.05,0.0025
betweenness,5,0.9989026001657297,0.0,0.05,0.0025
betweenness,6,0.9997163184101886,0.0,0.05,0.0025
betweenness,7,0.9999402775600397,0.0,0.05,0.0025
betweenness,8,0.9999776040850149,0.0,0.05,0.0025
betweenness,9,1.0,0.0,0.05,0.0025
betweenness,10,1.0,0.0,0.05,0.0025
degree,0,0.002493411868341881,0.0,0.05,0.0025
degree,1,0.34080610363336394,0.0,0.05,0.0025
degree,2,0.6349839122677357,0.0,0.05,0.0025
degree,3,0.9216665546870917,0.0,0.05,0.0025
degree,4,0.9894440587370197,0.0,0.05,0.0025
degree,5,0.9982157921061866,0.0,0.05,0.0025
degree,6,0.9996342000552433,0.0,0.05,0.0025
degree,7,0.9999178816450545,0.0,0.05,0.0025
degree,8,0.9999626734750249,0.0,0.05,0.0025
degree,9,1.0,0.0,0.05,0.0025
degree,10,1.0,0.0,0.05,0.0025
random,0,0.002493411868341881,0.0,0.05,0.0025
random,1,0.021301501272834502,0.0016088389482549292,0.05,0.0025
random,2,0.04922398154576606,0.003842754496453741,0.05,0.0025
random,3,0.2322747530850373,0.019663264887909974,0.05,0.0025
random,4,0.6272453771098818,0.036040024132147325,0.05,0.0025
random,5,0.947000067187745,0.008523792741974822,0.05,0.0025
random,6,0.9932050793935187,0.0011468138369304722,0.05,0.0025
random,7,0.9989526177091965,0.00017150535195899487,0.05,0.0025
random,8,0.9998215792106186,6.200648754188581e-05,0.05,0.0025
random,9,0.9999559547005292,2.2928737691166495e-05,0.05,0.0025
random,10,0.9999888020425075,1.010807074696918e-05,0.05,0.0025
random,11,1.0,0.0,0.05,0.0025
random,12,1.0,0.0,0.05,0.0025
betweenness,0,0.004994289041678797,0.0,0.05,0.005
betweenness,1,0.449523340276067,0.0,0.05,0.005
betweenness,2,0.7965779041902757,0.0,0.05,0.005
betweenness,3,0.9737071958074847,0.0,0.05,0.005
betweenness,4,0.9963867923824028,0.0,0.05,0.005
betweenness,5,0.9994401021253724,0.0,0.05,0.005
betweenness,6,0.9997685755451539,0.0,0.05,0.005
betweenness,7,0.9999402775600397,0.0,0.05,0.005
betweenness,8,0.9999776040850149,0.0,0.05,0.005
betweenness,9,1.0,0.0,0.05,0.005
betweenness,10,1.0,0.0,0.05,0.005
degree,0,0.004994289041678797,0.0,0.05,0.005
degree,1,0.44796309153210456,0.0,0.05,0.005
degree,2,0.7521070823348488,0.0,0.05,0.005
degree,3,0.9574477615282972,0.0,0.05,0.005
degree,4,0.9939381723440311,0.0,0.05,0.005
degree,5,0.9989772532156801,0.0,0.05,0.005
degree,6,0.999813367375124,0.0,0.05,0.005
degree,7,0.9999402775600397,0.0,0.05,0.005
degree,8,0.9999776040850149,0.0,0.05,0.005
degree,9,1.0,0.0,0.05,0.005
degree,10,1.0,0.0,0.05,0.005
random,0,0.004994289041678797,0.0,0.05,0.005
random,1,0.03915253857696356,0.002304694404803873,0.05,0.005
random,2,0.0914358021096952,0.005337690693225318,0.05,0.005
random,3,0.42593148343075554,0.02671755857447846,0.05,0.005
random,4,0.8581539793808275,0.01607157166386539,0.05,0.005
random,5,0.9841354803550498,0.0020151605660464525,0.05,0.005
random,6,0.9977604085014893,0.0003777834457229842,0.05,0.005
random,7,0.9996155367927557,9.431464099719948e-05,0.05,0.005
random,8,0.9999104163400595,5.136071965677398e-05,0.05,0.005
random,9,0.999982083268012,2.1750687065284017e-05,0.05,0.005
random,10,0.9999977604085014,7.0822101636477975e-06,0.05,0.005
random,11,1.0,0.0,0.05,0.005
random,12,1.0,0.0,0.05,0.005
betweenness,0,0.009996043388352631,0.0,0.05,0.01
betweenness,1,0.5977917627824685,0.0,0.05,0.01
betweenness,2,0.8945451016401276,0.0,0.05,0.01
betweenness,3,0.9864504714340103,0.0,0.05,0.01
betweenness,4,0.9977230819765142,0.0,0.05,0.01
betweenness,5,0.9996640612752234,0.0,0.05,0.01
betweenness,6,0.9998357632901091,0.0,0.05,0.01
betweenness,7,0.9999402775600397,0.0,0.05,0.01
betweenness,8,0.9999776040850149,0.0,0.05,0.01
betweenness,9,1.0,0.0,0.05,0.01
betweenness,10,1.0,0.0,0.05,0.01
degree,0,0.009996043388352631,0.0,0.05,0.01
degree,1,0.5719170156696752,0.0,0.05,0.01
degree,2,0.8509253245541346,0.0,0.05,0.01
degree,3,0.9778653706897196,0.0,0.05,0.01
degree,4,0.9967152658021844,0.0,0.05,0.01
degree,5,0.9995446163953028,0.0,0.05,0.01
degree,6,0.9999104163400595,0.0,0.05,0.01
degree,7,0.9999776040850149,0.0,0.05,0.01
degree,8,1.0,0.0,0.05,0.01
degree,9,1.0,0.0,0.05,0.01
random,0,0.009996043388352631,0.0,0.05,0.01
random,1,0.07934126148723805,0.0038838802782960743,0.05,0.01
random,2,0.18883563637992432,0.008785050647205493,0.05,0.01
random,3,0.7045426380894791,0.014290629694397579,0.05,0.01
random,4,0.9625600023888976,0.003348135054712434,0.05,0.01
random,5,0.9951886109306995,0.0005502452541697429,0.05,0.01
random,6,0.9992422715430038,0.0001415676772438154,0.05,0.01
random,7,0.9998245653326168,8.36684231457177e-05,0.05,0.01
random,8,0.9999537151090309,3.084053538149368e-05,0.05,0.01
random,9,0.999989548573007,1.1239354888791558e-05,0.05,0.01
random,10,1.0,0.0,0.05,0.01
random,11,1.0,0.0,0.05,0.01
betweenness,0,0.019999552081700296,0.0,0.05,0.02
betweenness,1,0.7434622591505976,0.0,0.05,0.02
betweenness,2,0.9558053944293894,0.0,0.05,0.02
betweenness,3,0.995184878278202,0.0,0.05,0.02
betweenness,4,0.9992833307204766,0.0,0.05,0.02
betweenness,5,0.9997984367651341,0.0,0.05,0.02
betweenness,6,0.9999402775600397,0.0,0.05,0.02
betweenness,7,0.9999776040850149,0.0,0.05,0.02
betweenness,8,1.0,0.0,0.05,0.02
betweenness,9,1.0,0.0,0.05,0.02
degree,0,0.019999552081700296,0.0,0.05,0.02
degree,1,0.6931162422640778,0.0,0.05,0.02
degree,2,0.9154404903212321,0.0,0.05,0.02
degree,3,0.9888692302524019,0.0,0.05,0.02
degree,4,0.9982232574111816,0.0,0.05,0.02
degree,5,0.9996939224952035,0.0,0.05,0.02
degree,6,0.9999253469500496,0.0,0.05,0.02
degree,7,0.9999776040850149,0.0,0.05,0.02
degree,8,1.0,0.0,0.05,0.02
degree,9,1.0,0.0,0.05,0.02
random,0,0.019999552081700296,0.0,0.05,0.02
random,1,0.15429665628989273,0.006332767620401206,0.05,0.02
random,2,0.3675378677595873,0.016117852161113583,0.05,0.02
random,3,0.893915776429046,0.007453147426766088,0.05,0.02
random,4,0.9890215224743006,0.0009433577981476513,0.05,0.02
random,5,0.9984337790120416,0.00019841426877046655,0.05,0.02
random,6,0.9997379677946743,0.00010358885952290631,0.05,0.02
random,7,0.9999425171515381,5.696831585322011e-05,0.05,0.02
random,8,0.999979097146014,2.329047542909269e-05,0.05,0.02
random,9,0.9999972005106268,7.918151678428506e-06,0.05,0.02
random,10,1.0,0.0,0.05,0.02
random,11,1.0,0.0,0.05,0.02
betweenness,0,0.04999514755175323,0.0,0.05,0.05
betweenness,1,0.9035706553791256,0.0,0.05,0.05
betweenness,2,0.9916463237105552,0.0,0.05,0.05
betweenness,3,0.9994923592603374,0.0,0.05,0.05
betweenness,4,0.9999552081700298,0.0,0.05,0.05
betweenness,5,1.0,0.0,0.05,0.05
betweenness,6,1.0,0.0,0.05,0.05
degree,0,0.04999514755175323,0.0,0.05,0.05
degree,1,0.8201608026695929,0.0,0.05,0.05
degree,2,0.9635170544892612,0.0,0.05,0.05
degree,3,0.9950281068733065,0.0,0.05,0.05
degree,4,0.9991937470605363,0.0,0.05,0.05
degree,5,0.999783506155144,0.0,0.05,0.05
degree,6,0.9999253469500496,0.0,0.05,0.05
degree,7,0.9999776040850149,0.0,0.05,0.05
degree,8,1.0,0.0,0.05,0.05
degree,9,1.0,0.0,0.05,0.05
random,0,0.04999514755175323,0.0,0.05,0.05
random,1,0.3598142632117235,0.0055950022528238625,0.05,0.05
random,2,0.8025031167648354,0.007603723360898026,0.05,0.05
random,3,0.9854307107716886,0.00101495939547208,0.05,0.05
random,4,0.9980649929452868,0.000238027620364883,0.05,0.05
random,5,0.9997469261606684,8.892108316576334e-05,0.05,0.05
random,6,0.9999469963345353,4.919932404868751e-05,0.05,0.05
random,7,0.9999880555120079,2.1173642880899098e-05,0.05,0.05
random,8,0.9999977604085014,7.082210163672178e-06,0.05,0.05
random,9,1.0,0.0,0.05,0.05
random,10,1.0,0.0,0.05,0.05
betweenness,0,0.002493411868341881,0.0,0.1,0.0025
betweenness,1,0.20368338148455054,0.0,0.1,0.0025
betweenness,2,0.34985405328734703,0.0,0.1,0.0025
betweenness,3,0.7142355900950333,0.0,0.1,0.0025
betweenness,4,0.9250184766298627,0.0,0.1,0.0025
betweenness,5,0.9840093167006339,0.0,0.1,0.0025
betweenness,6,0.9935201152643092,0.0,0.1,0.0025
betweenness,7,0.9954013721230581,0.0,0.1,0.0025
betweenness,8,0.995998596522661,0.0,0.1,0.0025
betweenness,9,0.996035923047636,0.0,0.1,0.0025
betweenness,10,0.9960732495726112,0.0,0.1,0.0025
betweenness,11,0.9960732495726112,0.0,0.1,0.0025
degree,0,0.002493411868341881,0.0,0.1,0.0025
degree,1,0.23781475592185322,0.0,0.1,0.0025
degree,2,0.4024471269773727,0.0,0.1,0.0025
degree,3,0.7148850716296015,0.0,0.1,0.0025
degree,4,0.907863205751271,0.0,0.1,0.0025
degree,5,0.9784178032593521,0.0,0.1,0.0025
degree,6,0.9923032705501184,0.0,0.1,0.0025
degree,7,0.9949235926033758,0.0,0.1,0.0025
degree,8,0.9957522414578246,0.0,0.1,0.0025
degree,9,0.9959687353026808,0.0,0.1,0.0025
degree,10,0.9959762006076758,0.0,0.1,0.0025
degree,11,0.9959911312176659,0.0,0.1,0.0025
degree,12,0.9959911312176659,0.0,0.1,0.0025
random,0,0.002493411868341881,0.0,0.1,0.0025
random,1,0.011303964823482863,0.0010470416644998988,0.1,0.0025
random,2,0.01807798257597814,0.0017546844331341185,0.1,0.0025
random,3,0.04143020313094892,0.003996408091235828,0.1,0.0025
random,4,0.07984591610490246,0.009732603757638084,0.1,0.0025
random,5,0.17699416959679887,0.027620249820608914,0.1,0.0025
random,6,0.3778974715011982,0.05242616667811376,0.1,0.0025
random,7,0.6902219435175023,0.0554735148842667,0.1,0.0025
random,8,0.9071510156547445,0.028363478634629204,0.1,0.0025
random,9,0.9812814942554479,0.00587732019813926,0.1,0.0025
random,10,0.9937940919576269,0.0006054117389099425,0.1,0.0025
random,11,0.9956507133098922,0.00015243365546914147,0.1,0.0025
random,12,0.9960687703896143,0.00014557663766953208,0.1,0.0025
random,13,0.9961658193545497,0.00013927235152848242,0.1,0.0025
random,14,0.9961725381290453,0.00014147141436258304,0.1,0.0025
random,15,0.9962330070995051,0.000132559098195079,0.1,0.0025
random,16,0.9963569311624226,0.0,0.1,0.0025
betweenness,0,0.004994289041678797,0.0,0.1,0.005
betweenness,1,0.32450187752420623,0.0,0.1,0.005
betweenness,2,0.5474009540659783,0.0,0.1,0.005
betweenness,3,0.8727165498346435,0.0,0.1,0.005
betweenness,4,0.9713854859540285,0.0,0.1,0.005
betweenness,5,0.991616462490575,0.0,0.1,0.005
