strategy,run_id,n_steps,final_fraction,t_50,t_90,auc,tau,seed_fraction
random,0,12,1.0,4.0,5.0,8.865706628444304,0.05,0.0025
random,1,12,1.0,4.0,5.0,8.87732264301658,0.05,0.0025
random,2,12,1.0,4.0,5.0,8.836718849148582,0.05,0.0025
random,3,12,1.0,4.0,5.0,8.782229587989818,0.05,0.0025
random,4,11,1.0,4.0,5.0,7.984905153300039,0.05,0.0025
random,5,11,1.0,4.0,5.0,7.91829970213433,0.05,0.0025
random,6,11,1.0,4.0,5.0,7.833374392510806,0.05,0.0025
random,7,11,1.0,4.0,5.0,7.895314028054616,0.05,0.0025
random,8,12,1.0,4.0,5.0,8.951288884907393,0.05,0.0025
random,9,12,1.0,4.0,5.0,8.769471381753302,0.05,0.0025
degree,0,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
degree,1,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
degree,2,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
degree,3,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
degree,4,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
degree,5,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
degree,6,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
degree,7,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
degree,8,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
degree,9,10,1.0,2.0,3.0,8.887124588475062,0.05,0.0025
betweenness,0,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
betweenness,1,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
betweenness,2,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
betweenness,3,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
betweenness,4,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
betweenness,5,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
betweenness,6,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
betweenness,7,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
betweenness,8,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
betweenness,9,10,1.0,2.0,3.0,8.861869461676857,0.05,0.0025
random,0,10,1.0,4.0,5.0,7.457078228931044,0.05,0.005
random,1,10,1.0,4.0,5.0,7.424335401222817,0.05,0.005
random,2,10,1.0,4.0,5.0,7.418295969481834,0.05,0.005
random,3,12,1.0,4.0,5.0,9.333310937418348,0.05,0.005
random,4,11,1.0,4.0,5.0,8.455391070002165,0.05,0.005
random,5,11,1.0,4.0,5.0,8.444573843064358,0.05,0.005
random,6,11,1.0,4.0,5.0,8.429031078064694,0.05,0.005
random,7,11,1.0,4.0,5.0,8.366703246661142,0.05,0.005
random,8,11,1.0,4.0,5.0,8.316543862399499,0.05,0.005
random,9,11,1.0,4.0,5.0,8.365434144811985,0.05,0.005
degree,0,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
degree,1,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
degree,2,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
degree,3,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
degree,4,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
degree,5,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
degree,6,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
degree,7,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
degree,8,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
degree,9,10,1.0,2.0,3.0,9.155158899016818,0.05,0.005
betweenness,0,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
betweenness,1,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
betweenness,2,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
betweenness,3,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
betweenness,4,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
betweenness,5,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
betweenness,6,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
betweenness,7,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
betweenness,8,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
betweenness,9,10,1.0,2.0,3.0,9.22031608101349,0.05,0.005
random,0,10,1.0,3.0,4.0,7.897075840033444,0.05,0.01
random,1,11,1.0,3.0,4.0,8.986905855038707,0.05,0.01
random,2,10,1.0,3.0,4.0,7.937164527856786,0.05,0.01
random,3,11,1.0,3.0,4.0,8.944502922666906,0.05,0.01
random,4,11,1.0,3.0,4.0,8.92989332079162,0.05,0.01
random,5,10,1.0,3.0,4.0,7.972303718468418,0.05,0.01
random,6,10,1.0,3.0,4.0,7.9545960150201935,0.05,0.01
random,7,11,1.0,3.0,4.0,8.93822460116608,0.05,0.01
random,8,10,1.0,3.0,4.0,7.943920628877293,0.05,0.01
random,9,11,1.0,3.0,4.0,8.890155502303047,0.05,0.01
degree,0,9,1.0,1.0,3.0,8.406851656924445,0.05,0.01
degree,1,9,1.0,1.0,3.0,8.406851656924445,0.05,0.01
degree,2,9,1.0,1.0,3.0,8.406851656924445,0.05,0.01
degree,3,9,1.0,1.0,3.0,8.406851656924445,0.05,0.01
degree,4,9,1.0,1.0,3.0,8.406851656924445,0.05,0.01
degree,5,9,1.0,1.0,3.0,8.406851656924445,0.05,0.01
degree,6,9,1.0,1.0,3.0,8.406851656924445,0.05,0.01
degree,7,9,1.0,1.0,3.0,8.406851656924445,0.05,0.01
degree,8,9,1.0,1.0,3.0,8.406851656924445,0.05,0.01
