strategy,run_id,time_step,fraction_active,tau,seed_fraction
random,0,0,0.002493411868341881,0.05,0.0025
random,0,1,0.019208229752226528,0.05,0.0025
random,0,2,0.047128470433659565,0.05,0.0025
random,0,3,0.22530290475017356,0.05,0.0025
random,0,4,0.6283920479571193,0.05,0.0025
random,0,5,0.951102252282517,0.05,0.0025
random,0,6,0.9933857397743985,0.05,0.0025
random,0,7,0.9989996491306652,0.05,0.0025
random,0,8,0.9997760408501489,0.05,0.0025
random,0,9,0.9999402775600397,0.05,0.0025
random,0,10,0.9999776040850149,0.05,0.0025
random,0,11,1.0,0.05,0.0025
random,0,12,1.0,0.05,0.0025
random,1,0,0.002493411868341881,0.05,0.0025
random,1,1,0.02205251095533508,0.05,0.0025
random,1,2,0.04992795980679791,0.05,0.0025
random,1,3,0.23523922569856592,0.05,0.0025
random,1,4,0.6293252110814987,0.05,0.0025
random,1,5,0.9474965099699149,0.05,0.0025
random,1,6,0.9923555276850836,0.05,0.0025
random,1,7,0.9987756899808141,0.05,0.0025
random,1,8,0.9997387143251738,0.05,0.0025
random,1,9,0.9999402775600397,0.05,0.0025
random,1,10,0.9999776040850149,0.05,0.0025
random,1,11,1.0,0.05,0.0025
random,1,12,1.0,0.05,0.0025
random,2,0,0.002493411868341881,0.05,0.0025
random,2,1,0.020387747941442148,0.05,0.0025
random,2,2,0.04816614782796951,0.05,0.0025
random,2,3,0.2223466439721395,0.05,0.0025
random,2,4,0.6131329645472666,0.05,0.0025
random,2,5,0.9396056825901622,0.05,0.0025
random,2,6,0.9919225399953715,0.05,0.0025
random,2,7,0.9988802042507446,0.05,0.0025
random,2,8,0.9998581592050944,0.05,0.0025
random,2,9,0.9999402775600397,0.05,0.0025
random,2,10,0.99998506939001,0.05,0.0025
random,2,11,1.0,0.05,0.0025
random,2,12,1.0,0.05,0.0025
random,3,0,0.002493411868341881,0.05,0.0025
random,3,1,0.01925302158219674,0.05,0.0025
random,3,2,0.0440303688607198,0.05,0.0025
random,3,3,0.20781169514680523,0.05,0.0025
random,3,4,0.5847125484311662,0.05,0.0025
random,3,5,0.9338648630489799,0.05,0.0025
random,3,6,0.9916537890155502,0.05,0.0025
random,3,7,0.9986039879659283,0.05,0.0025
random,3,8,0.9998432285951042,0.05,0.0025
random,3,9,0.9999776040850149,0.05,0.0025
random,3,10,0.99998506939001,0.05,0.0025
random,3,11,1.0,0.05,0.0025
random,3,12,1.0,0.05,0.0025
random,4,0,0.002493411868341881,0.05,0.0025
random,4,1,0.021783759975513798,0.05,0.0025
random,4,2,0.05289915119482207,0.05,0.0025
random,4,3,0.2649586048838025,0.05,0.0025
random,4,4,0.6898986958112173,0.05,0.0025
random,4,5,0.9593588796070264,0.05,0.0025
random,4,6,0.9946100497935844,0.05,0.0025
random,4,7,0.9991340246205759,0.05,0.0025
random,4,8,0.9998059020701291,0.05,0.0025
random,4,9,0.9999626734750249,0.05,0.0025
random,4,10,1.0,0.05,0.0025
random,4,11,1.0,0.05,0.0025
random,5,0,0.002493411868341881,0.05,0.0025
random,5,1,0.02202264973535494,0.05,0.0025
random,5,2,0.04997275163676812,0.05,0.0025
random,5,3,0.2439213754077923,0.05,0.0025
random,5,4,0.6555209663090785,0.05,0.0025
random,5,5,0.9523116316917127,0.05,0.0025
random,5,6,0.9933558785544183,0.05,0.0025
random,5,7,0.9988503430307645,0.05,0.0025
random,5,8,0.9998880204250745,0.05,0.0025
random,5,9,0.9999626734750249,0.05,0.0025
random,5,10,1.0,0.05,0.0025
random,5,11,1.0,0.05,0.0025
random,6,0,0.002493411868341881,0.05,0.0025
random,6,1,0.02151500899569252,0.05,0.0025
random,6,2,0.04781527849320284,0.05,0.0025
random,6,3,0.220987958463043,0.05,0.0025
random,6,4,0.6032190395138594,0.05,0.0025
random,6,5,0.945018028711563,0.05,0.0025
random,6,6,0.9935201152643092,0.05,0.0025
random,6,7,0.9990519062656305,0.05,0.0025
random,6,8,0.999790971460139,0.05,0.0025
random,6,9,0.9999626734750249,0.05,0.0025
random,6,10,1.0,0.05,0.0025
