strategy,time_step,mean_fraction,std_fraction,tau,seed_fraction
betweenness,0,0.002493411868341881,0.0,0.05,0.0025
betweenness,1,0.05725888931192284,0.0,0.05,0.0025
betweenness,2,0.09190536979388293,0.0,0.05,0.0025
betweenness,3,0.1206094674997947,0.0,0.05,0.0025
betweenness,4,0.1434831620045837,0.0,0.05,0.0025
betweenness,5,0.1626018080968698,0.0,0.05,0.0025
betweenness,6,0.17785342620172748,0.0,0.05,0.0025
betweenness,7,0.18939478772405247,0.0,0.05,0.0025
betweenness,8,0.19879360671280225,0.0,0.05,0.0025
betweenness,9,0.20592297298306123,0.0,0.05,0.0025
betweenness,10,0.21172351496420388,0.0,0.05,0.0025
betweenness,11,0.21612804491127485,0.0,0.05,0.0025
betweenness,12,0.22045045650340045,0.0,0.05,0.0025
betweenness,13,0.2244294640657544,0.0,0.05,0.0025
betweenness,14,0.22773659417855513,0.0,0.05,0.0025
betweenness,15,0.23050622233171336,0.0,0.05,0.0025
betweenness,16,0.2333355729248318,0.0,0.05,0.0025
betweenness,17,0.23547811545840705,0.0,0.05,0.0025
betweenness,18,0.23764305390696733,0.0,0.05,0.0025
betweenness,19,0.23940486588579576,0.0,0.05,0.0025
betweenness,20,0.2412189349995894,0.0,0.05,0.0025
betweenness,21,0.24316737960329368,0.0,0.05,0.0025
betweenness,22,0.24523526908691853,0.0,0.05,0.0025
betweenness,23,0.24712399125066256,0.0,0.05,0.0025
betweenness,24,0.24863944816465477,0.0,0.05,0.0025
betweenness,25,0.2499309459287959,0.0,0.05,0.0025
betweenness,26,0.250991019238091,0.0,0.05,0.0025
betweenness,27,0.2516703619926392,0.0,0.05,0.0025
betweenness,28,0.2523422394421924,0.0,0.05,0.0025
betweenness,29,0.2529917209767605,0.0,0.05,0.0025
betweenness,30,0.2534620351914477,0.0,0.05,0.0025
betweenness,31,0.2541264473360059,0.0,0.05,0.0025
betweenness,32,0.2546042268556882,0.0,0.05,0.0025
betweenness,33,0.2548729778355095,0.0,0.05,0.0025
betweenness,34,0.2552462430852612,0.0,0.05,0.0025
betweenness,35,0.25552245937007756,0.0,0.05,0.0025
betweenness,36,0.2559255858398095,0.0,0.05,0.0025
betweenness,37,0.25623166334460595,0.0,0.05,0.0025
betweenness,38,0.2565825326793726,0.0,0.05,0.0025
betweenness,39,0.2567691653042485,0.0,0.05,0.0025
betweenness,40,0.2569184714041492,0.0,0.05,0.0025
betweenness,41,0.2569781938441095,0.0,0.05,0.0025
betweenness,42,0.25703045097907473,0.0,0.05,0.0025
betweenness,43,0.2571051040290251,0.0,0.05,0.0025
betweenness,44,0.25714989585899534,0.0,0.05,0.0025
betweenness,45,0.2572170836039506,0.0,0.05,0.0025
