strategy,run_id,n_steps,final_fraction,t_50,t_90,auc,tau,seed_fraction
random,2,17,0.01594589146939598,-1.0,-1.0,0.23034198562182256,0.05,0.0025
random,0,30,0.01859607474263361,-1.0,-1.0,0.4954797578255059,0.05,0.0025
random,1,34,0.020036878606675475,-1.0,-1.0,0.57502258254761,0.05,0.0025
random,7,21,0.01842437272774779,-1.0,-1.0,0.32123953924137566,0.05,0.0025
random,5,23,0.01876031145252439,-1.0,-1.0,0.3751763678305077,0.05,0.0025
random,4,35,0.01914104200727121,-1.0,-1.0,0.5671392204728524,0.05,0.0025
random,6,31,0.01839451150776765,-1.0,-1.0,0.5027136383656954,0.05,0.0025
random,8,26,0.01758079326330877,-1.0,-1.0,0.39744537263069873,0.05,0.0025
random,3,38,0.017521070823348486,-1.0,-1.0,0.6021141743745942,0.05,0.0025
random,9,29,0.02544175942308123,-1.0,-1.0,0.6006957664255372,0.05,0.0025
degree,0,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
degree,1,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
degree,5,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
degree,3,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
degree,2,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
degree,4,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
degree,6,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
degree,8,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
degree,7,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
degree,9,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.05,0.0025
betweenness,1,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
betweenness,3,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
betweenness,4,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
betweenness,0,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
betweenness,2,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
betweenness,7,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
betweenness,6,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
betweenness,8,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
betweenness,5,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
betweenness,9,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.05,0.0025
random,2,26,0.031690219703926006,-1.0,-1.0,0.7209618298955607,0.05,0.005
random,3,24,0.038789724754204835,-1.0,-1.0,0.770844997872388,0.05,0.005
random,0,35,0.03952132464371832,-1.0,-1.0,1.1826610826185304,0.05,0.005
random,5,28,0.041283136622546714,-1.0,-1.0,0.937261576821721,0.05,0.005
random,1,31,0.03987965928348003,-1.0,-1.0,1.0510552208610482,0.05,0.005
random,4,32,0.04552342985972692,-1.0,-1.0,1.1723365658103961,0.05,0.005
