strategy,run_id,time_step,fraction_active,tau,seed_fraction
random,2,0,0.002493411868341881,0.05,0.0025
random,2,1,0.004606093181936948,0.05,0.0025
random,2,2,0.006950198950378118,0.05,0.0025
random,2,3,0.008838921114122118,0.05,0.0025
random,2,4,0.010690316752890939,0.05,0.0025
random,2,5,0.012347614461788836,0.05,0.0025
random,2,6,0.013594320395959777,0.05,0.0025
random,2,7,0.014378177420438513,0.05,0.0025
random,2,8,0.014796234500160503,0.05,0.0025
random,2,9,0.015229222189872568,0.05,0.0025
random,2,10,0.015468111949713705,0.05,0.0025
random,2,11,0.015624883354609452,0.05,0.0025
random,2,12,0.01576672414951513,0.05,0.0025
random,2,13,0.015856307809455555,0.05,0.0025
random,2,14,0.0158861690294357,0.05,0.0025
random,2,15,0.015923495554410874,0.05,0.0025
random,2,16,0.01594589146939598,0.05,0.0025
random,2,17,0.01594589146939598,0.05,0.0025
random,0,0,0.002493411868341881,0.05,0.0025
random,0,1,0.004807656416802909,0.05,0.0025
random,0,2,0.007704194754876711,0.05,0.0025
random,0,3,0.00952572917366539,0.05,0.0025
random,0,4,0.01117556157756825,0.05,0.0025
random,0,5,0.012877651116436363,0.05,0.0025
random,0,6,0.014445365165393832,0.05,0.0025
random,0,7,0.015535299694669026,0.05,0.0025
random,0,8,0.016214642449217262,0.05,0.0025
random,0,9,0.016677491358909467,0.05,0.0025
random,0,10,0.017140340268601673,0.05,0.0025
random,0,11,0.017543466738333596,0.05,0.0025
random,0,12,0.017797287108164805,0.05,0.0025
random,0,13,0.018036176868005942,0.05,0.0025
random,0,14,0.018185482967906653,0.05,0.0025
random,0,15,0.01826013601785701,0.05,0.0025
random,0,16,0.018297462542832186,0.05,0.0025
random,0,17,0.018319858457817296,0.05,0.0025
random,0,18,0.01835718498279247,0.05,0.0025
random,0,19,0.01839451150776765,0.05,0.0025
random,0,20,0.018401976812762684,0.05,0.0025
random,0,21,0.018416907422752756,0.05,0.0025
random,0,22,0.018439303337737863,0.05,0.0025
random,0,23,0.01847662986271304,0.05,0.0025
random,0,24,0.018499025777698148,0.05,0.0025
random,0,25,0.018536352302673326,0.05,0.0025
random,0,26,0.018558748217658433,0.05,0.0025
random,0,27,0.01858114413264354,0.05,0.0025
random,0,28,0.018588609437638574,0.05,0.0025
random,0,29,0.01859607474263361,0.05,0.0025
random,0,30,0.01859607474263361,0.05,0.0025
random,1,0,0.002493411868341881,0.05,0.0025
random,1,1,0.00502415026165894,0.05,0.0025
random,1,2,0.00795801512470792,0.05,0.0025
random,1,3,0.009801945458481707,0.05,0.0025
random,1,4,0.011309937067478891,0.05,0.0025
random,1,5,0.012384940986764015,0.05,0.0025
random,1,6,0.013430083686068994,0.05,0.0025
random,1,7,0.014497622300359081,0.05,0.0025
random,1,8,0.015117242614947034,0.05,0.0025
random,1,9,0.01554276499966406,0.05,0.0025
random,1,10,0.015833911894470448,0.05,0.0025
random,1,11,0.016199711839227193,0.05,0.0025
random,1,12,0.01654311586899883,0.05,0.0025
random,1,13,0.01672228318887968,0.05,0.0025
random,1,14,0.016953707643725783,0.05,0.0025
random,1,15,0.017386695333437847,0.05,0.0025
random,1,16,0.017759960583189627,0.05,0.0025
random,1,17,0.018095899307966228,0.05,0.0025
random,1,18,0.018439303337737863,0.05,0.0025
random,1,19,0.018573678827648505,0.05,0.0025
random,1,20,0.018708054317559144,0.05,0.0025
random,1,21,0.01903652773734071,0.05,0.0025
random,1,22,0.019245556277201707,0.05,0.0025
random,1,23,0.019379931767112345,0.05,0.0025
random,1,24,0.0195590990869932,0.05,0.0025
random,1,25,0.01965614805192866,0.05,0.0025
random,1,26,0.019753197016864125,0.05,0.0025
random,1,27,0.01981291945682441,0.05,0.0025
random,1,28,0.019865176591789657,0.05,0.0025
random,1,29,0.01990996842175987,0.05,0.0025
random,1,30,0.01994729494673505,0.05,0.0025
random,1,31,0.019984621471710227,0.05,0.0025
random,1,32,0.020021947996685406,0.05,0.0025
random,1,33,0.020036878606675475,0.05,0.0025
random,1,34,0.020036878606675475,0.05,0.0025
random,7,0,0.002493411868341881,0.05,0.0025
