year,authors
2026,"AmadoGomesC, OliveiraH, RochaA, FermegliaM"
2026,"BarbereauT, WeiglL, vanVeenstraAF"
2025,"FuentealbaR, FloresBelléP, CarraroV, AriasArósteguiE, GonzálezGálvezM, SwistunDA, UsónTJ, HenriqueKP, deCastroF"
2025,"MarschlichS, HurtadoE"
2025,"MckennaMG, RodriguesC, BrownP, BradbyH, GaleN"
2025,"PickeringSD, IwasakiM, MasitaG, RoskamA, HansenME, SunaharaY"
2025,"Steeghs-TurchinaM, SrinivasanR, NunezPL, NunezMD"
2025,"UnanA, KlüverH, HoboltS, RodonT"
2025,"UrkensJ, HarambamJ, d'HaenensL"
2025,BurlyukO
2025,"PérezdeAlbaOrtízA, EnsingB"
2025,"FuY, ZhouJ, ZouX, ShiL, ZhangX, DozeAM, HilbersMF, BumaWJ, ZhangJ, FeringaBL"
2025,"LinssenHJ, vanLoonESBJ, VerginL, LeyrerJ, NoletB"
2025,"LinssenHJ, vanLoonESBJ, NuijtenRJM, NoletB"
2025,"van’tHoffTE, KryvenI, IedemaPD"
2025,"BoardmanS, SchoonenT"
2025,"BoasI, SterlyH, FarbotkoC, HulmeM, BenvenisteH, SchewelKD, BettiniG, BorderonM, HoffmannR, vanderGeestKDDD, SelbyJ, WrathallDJ, BaldwinA, BenítezCortésA, BukariKNBPS, CapisaniS, CodjoeSNA, ZickgrafC"
2025,"ErnstTR, HogersRMHW, KorosiA, vanLeeuwenJL, KotrschalA, PolluxBJA"
2025,"GlitsosL, DeuzeM"
2025,"HerasA, RammeltCF, GuptaJ"
2025,"HuangR, SchaefferJ, HeX"
2025,"IncurvatiL, NicolaiC"
2025,"KieslichK, DiakopoulosN, HelbergerN"
2025,"ObbelsJ, VansteelandtK, VerwijkE, HebbrechtK, VerspechtS, DenayerN, VandenEyndeL, SienaertP"
2025,"PickeringSD, TanakaS"
2025,"Rauwerdink-NijlandE, vandenDriesL, MetzJ, VerhoeffA, WolfJ"
2025,"RogersK, HirzleT, KaraosmanogluS, ToledoPalominoP, DurmanovaE, IsotaniS, NackeLE"
2025,"SanulG, DoğuT"
2025,"SzpakV, SuzukiJ, WiersRW, FreichelR"
2025,"TabiA, PereiraSantosE, BrejaoG, SiqueiraT"
